DATE,"S&P500 Index value (friday is closing, monday is open price)",change: Monday – Friday,Y = binary (0: went down or no change & 1: opened higher on Monday compared to last Friday's closing),,,,,,,$BTC
"Friday, January 4, 2019",2531.94,,,,,,,,,#N/A
"Monday, January 7, 2019",2535.61,3.67,1,,,,,,,
"Friday, January 11, 2019",2596.26,,,,,,,,,
"Monday, January 14, 2019",2580.31,-15.95,0,,,,,,,
"Friday, January 18, 2019",2670.71,,,,,,,,,
"Monday, January 21, 2019",2657.88,-12.83,0,,,,,,,
"Friday, January 25, 2019",2664.76,,,,,,,,,
"Monday, January 28, 2019",2644.97,-19.79,0,,,,,,,
"Friday, February 1, 2019",2706.53,,,,,,,,,
"Monday, February 4, 2019",2706.49,-0.04,0,,,,,,,
"Friday, February 8, 2019",2707.88,,,,,,,,,
"Monday, February 11, 2019",2712.4,4.52,1,,,,,,,
"Friday, February 15, 2019",2775.6,,,,,,,,,
"Monday, February 18, 2019",2769.28,-6.32,0,,,,,,,
"Friday, February 22, 2019",2792.67,,,,,,,,,
"Monday, February 25, 2019",2804.35,11.68,1,,,,,,,
"Friday, March 1, 2019",2803.69,,,,,,,,,
"Monday, March 4, 2019",2814.37,10.68,1,,,,,,,
"Friday, March 8, 2019",2743.07,,,,,,,,,
"Monday, March 11, 2019",2747.61,4.54,1,,,,,,,
"Friday, March 15, 2019",2822.48,,,,,,,,,
"Monday, March 18, 2019",2822.61,0.13,1,,,,,,,
"Friday, March 22, 2019",2800.71,,,,,,,,,
"Monday, March 25, 2019",2796.01,-4.7,0,,,,,,,
"Friday, March 29, 2019",2834.4,,,,,,,,,
"Monday, April 1, 2019",2848.63,14.23,1,,,,,,,
"Friday, April 5, 2019",2892.74,,,,,,,,,
"Monday, April 8, 2019",2888.46,-4.28,0,,,,,,,
"Friday, April 12, 2019",2907.41,,,,,,,,,
"Monday, April 15, 2019",2908.32,0.91,1,,,,,,,
"Friday, April 19, 2019",2907.97,,,,,,,,,
"Monday, April 22, 2019",2898.78,-9.19,0,,,,,,,
"Friday, April 26, 2019",2939.88,,,,,,,,,
"Monday, April 29, 2019",2940.58,0.7,1,,,,,,,
"Friday, May 3, 2019",2945.64,,,,,,,,,
"Monday, May 6, 2019",2908.89,-36.75,0,,,,,,,
"Friday, May 10, 2019",2881.4,,,,,,,,,
"Monday, May 13, 2019",2840.19,-41.21,0,,,,,,,
"Friday, May 17, 2019",2859.53,,,,,,,,,
"Monday, May 20, 2019",2841.94,-17.59,0,,,,,,,
"Friday, May 24, 2019",2826.06,,,,,,,,,
"Monday, May 27, 2019",2830.03,3.97,1,,,,,,,
"Friday, May 31, 2019",2752.06,,,,,,,,,
"Monday, June 3, 2019",2751.53,-0.53,0,,,,,,,
"Friday, June 7, 2019",2873.34,,,,,,,,,
"Monday, June 10, 2019",2885.83,12.49,1,,,,,,,
"Friday, June 14, 2019",2886.98,,,,,,,,,
"Monday, June 17, 2019",2889.75,2.77,1,,,,,,,
"Friday, June 21, 2019",2950.46,,,,,,,,,
"Monday, June 24, 2019",2951.42,0.96,1,,,,,,,
"Friday, June 28, 2019",2941.76,,,,,,,,,
"Monday, July 1, 2019",2971.41,29.65,1,,,,,,,
"Friday, July 5, 2019",2990.41,,,,,,,,,
"Monday, July 8, 2019",2979.77,-10.64,0,,,,,,,
"Friday, July 12, 2019",3013.77,,,,,,,,,
"Monday, July 15, 2019",3017.8,4.03,1,,,,,,,
"Friday, July 19, 2019",2976.61,,,,,,,,,
"Monday, July 22, 2019",2981.93,5.32,1,,,,,,,
"Friday, July 26, 2019",3025.86,,,,,,,,,
"Monday, July 29, 2019",3024.47,-1.39,0,,,,,,,
"Friday, August 2, 2019",2932.05,,,,,,,,,
"Monday, August 5, 2019",2898.07,-33.98,0,,,,,,,
"Friday, August 9, 2019",2918.65,,,,,,,,,
"Monday, August 12, 2019",2907.07,-11.58,0,,,,,,,
"Friday, August 16, 2019",2888.68,,,,,,,,,
"Monday, August 19, 2019",2913.48,24.8,1,,,,,,,
"Friday, August 23, 2019",2847.11,,,,,,,,,
"Monday, August 26, 2019",2866.7,19.59,1,,,,,,,
"Friday, August 30, 2019",2926.46,,,,,,,,,
"Monday, September 2, 2019",2909.01,-17.45,0,,,,,,,
"Friday, September 6, 2019",2978.71,,,,,,,,,
"Monday, September 9, 2019",2988.43,9.72,1,,,,,,,
"Friday, September 13, 2019",3007.39,,,,,,,,,
"Monday, September 16, 2019",2996.41,-10.98,0,,,,,,,
"Friday, September 20, 2019",2992.07,,,,,,,,,
"Monday, September 23, 2019",2983.5,-8.57,0,,,,,,,
"Friday, September 27, 2019",2961.79,,,,,,,,,
"Monday, September 30, 2019",2967.07,5.28,1,,,,,,,
"Friday, October 4, 2019",2952.01,,,,,,,,,
"Monday, October 7, 2019",2944.23,-7.78,0,,,,,,,
"Friday, October 11, 2019",2970.27,,,,,,,,,
"Monday, October 14, 2019",2965.81,-4.46,0,,,,,,,
"Friday, October 18, 2019",2986.2,,,,,,,,,
"Monday, October 21, 2019",2996.48,10.28,1,,,,,,,
"Friday, October 25, 2019",3022.55,,,,,,,,,
"Monday, October 28, 2019",3032.12,9.57,1,,,,,,,
"Friday, November 1, 2019",3066.91,,,,,,,,,
"Monday, November 4, 2019",3078.96,12.05,1,,,,,,,
"Friday, November 8, 2019",3093.08,,,,,,,,,
"Monday, November 11, 2019",3080.33,-12.75,0,,,,,,,
"Friday, November 15, 2019",3120.46,,,,,,,,,
"Monday, November 18, 2019",3117.91,-2.55,0,,,,,,,
"Friday, November 22, 2019",3110.29,,,,,,,,,
"Monday, November 25, 2019",3117.44,7.15,1,,,,,,,
"Friday, November 29, 2019",3140.98,,,,,,,,,
"Monday, December 2, 2019",3143.85,2.87,1,,,,,,,
"Friday, December 6, 2019",3145.91,,,,,,,,,
"Monday, December 9, 2019",3141.86,-4.05,0,,,,,,,
"Friday, December 13, 2019",3168.8,,,,,,,,,
"Monday, December 16, 2019",3183.63,14.83,1,,,,,,,
"Friday, December 20, 2019",3221.22,,,,,,,,,
"Monday, December 23, 2019",3226.05,4.83,1,,,,,,,
"Friday, December 27, 2019",3240.02,,,,,,,,,
"Monday, December 30, 2019",3240.09,0.07,1,,,,,,,
"Friday, January 3, 2020",3234.85,,,,,,,,,
"Monday, January 6, 2020",3217.55,-17.3,0,,,,,,,
"Friday, January 10, 2020",3265.35,,,,,,,,,
"Monday, January 13, 2020",3271.13,5.78,1,,,,,,,
"Friday, January 17, 2020",3329.62,,,,,,,,,
